Year,Month,Region,Season,Temperature (°C),Humidity (%),Rainfall (mm),Wind Speed (km/h),num_fires,avg_size_ha,dominant_risk
2000,1,Cariboo,Winter,-11.6,83.2,60.8,4.1,2,0.009,Low
2000,1,Kamloops,Winter,-4.8,78.4,39.5,11.8,1,0.5,Moderate
2000,1,Okanagan,Winter,-3.2,69.9,31.3,8.0,6,6.118333333333333,Moderate
2000,1,Vancouver Island,Winter,4.7,85.4,157.1,12.1,4,2.87725,Low
2000,2,Cariboo,Winter,-8.7,79.8,39.7,7.1,2,0.009,Low
2000,2,Kamloops,Winter,-2.9,72.1,28.9,11.0,1,0.5,Moderate
2000,2,Okanagan,Winter,-0.4,82.0,23.9,6.7,6,6.118333333333333,Moderate
2000,2,Vancouver Island,Winter,4.3,70.4,90.3,12.5,4,2.87725,Low
2000,3,Cariboo,Spring,-4.3,73.5,22.7,6.4,128,2.9128125,Low
2000,3,Kamloops,Spring,3.1,64.2,17.2,9.8,114,2.921219298245614,Moderate
2000,3,Okanagan,Spring,5.1,66.3,22.5,7.8,40,3.599945945945946,Moderate
2000,3,Prince George,Spring,-2.0,66.4,28.2,9.0,127,5.0201574803149605,Moderate
2000,3,Vancouver Island,Spring,9.3,75.8,78.2,12.1,31,0.23509090909090907,Low
2000,4,Cariboo,Spring,4.6,60.3,21.1,5.5,128,2.9128125,Low
2000,4,Kamloops,Spring,10.2,44.3,11.8,10.4,114,2.921219298245614,Moderate
2000,4,Okanagan,Spring,11.9,52.7,15.9,10.6,40,3.599945945945946,Moderate
2000,4,Prince George,Spring,6.4,61.9,24.9,10.7,127,5.0201574803149605,Moderate
2000,4,Vancouver Island,Spring,9.2,67.5,56.0,9.8,31,0.23509090909090907,Low
2000,5,Cariboo,Spring,12.5,57.1,40.7,7.3,128,2.9128125,Low
2000,5,Kamloops,Spring,13.6,46.3,18.0,8.9,114,2.921219298245614,Moderate
2000,5,Okanagan,Spring,17.3,48.7,24.7,9.7,40,3.599945945945946,Moderate
2000,5,Prince George,Spring,12.6,54.2,38.1,7.8,127,5.0201574803149605,Moderate
2000,5,Vancouver Island,Spring,15.6,63.7,40.5,8.7,31,0.23509090909090907,Low
2000,6,Cariboo,Summer,14.9,52.0,58.2,9.8,55,15.22558181818182,Low
2000,6,Kamloops,Summer,22.0,39.1,28.4,8.7,543,1.4836395563770794,Low
2000,6,Okanagan,Summer,22.3,33.2,32.6,7.9,760,3.6448357771260995,Low
2000,6,Prince George,Summer,13.2,50.8,48.3,9.2,168,69.87022619047619,Moderate
2000,6,Vancouver Island,Summer,16.9,62.1,17.9,10.8,245,0.3210704845814978,Low
2000,7,Cariboo,Summer,17.4,48.3,49.1,10.7,55,15.22558181818182,Low
2000,7,Kamloops,Summer,22.7,34.4,13.9,11.1,543,1.4836395563770794,Low
2000,7,Okanagan,Summer,26.4,31.0,27.6,10.5,760,3.6448357771260995,Low
2000,7,Prince George,Summer,17.6,52.1,54.2,9.9,168,69.87022619047619,Moderate
2000,7,Vancouver Island,Summer,20.0,61.6,12.6,10.1,245,0.3210704845814978,Low
2000,8,Cariboo,Summer,18.9,53.2,48.8,10.3,55,15.22558181818182,Low
2000,8,Kamloops,Summer,21.9,34.8,17.6,12.6,543,1.4836395563770794,Low
2000,8,Okanagan,Summer,22.0,39.7,28.8,10.8,760,3.6448357771260995,Low
2000,8,Prince George,Summer,16.9,44.1,44.7,8.6,168,69.87022619047619,Moderate
2000,8,Vancouver Island,Summer,18.7,68.2,26.2,9.9,245,0.3210704845814978,Low
2000,9,Cariboo,Fall,12.1,58.6,53.8,8.8,28,1.1326666666666665,Extreme
2000,9,Kamloops,Fall,16.2,43.8,24.5,7.4,186,2.226792452830189,Extreme
2000,9,Okanagan,Fall,16.1,44.8,22.6,7.9,287,1.9397872340425533,Extreme
2000,9,Prince George,Fall,9.0,64.4,62.7,10.3,88,5.322631578947369,Extreme
2000,9,Vancouver Island,Fall,18.0,71.9,35.4,7.8,131,1.0062931034482758,Extreme
2000,10,Cariboo,Fall,3.1,73.1,47.7,8.2,28,1.1326666666666665,Extreme
2000,10,Kamloops,Fall,8.8,54.2,19.1,9.1,186,2.226792452830189,Extreme
2000,10,Okanagan,Fall,12.0,60.6,12.9,9.0,287,1.9397872340425533,Extreme
2000,10,Prince George,Fall,3.2,80.0,49.4,7.7,88,5.322631578947369,Extreme
2000,10,Vancouver Island,Fall,10.1,76.7,104.9,11.2,131,1.0062931034482758,Extreme
