Region,Year,Month,Season,total_burned_area,fire_count,average_fire_size,worst_case_fire_size,temperature_c,humidity_pct,rainfall_mm,wind_speed_kmh,risk_worst_case_fire_size
Cariboo,2000,1.0,Winter,0.009,1,0.009,0.009,-11.6,83.2,60.8,4.1,Low
Cariboo,2000,2.0,Winter,0.009,1,0.009,0.009,-8.7,79.8,39.7,7.1,Low
Cariboo,2000,3.0,Spring,2.5,1,2.5,2.5,-4.3,73.5,22.7,6.4,Moderate
Cariboo,2000,4.0,Spring,352.77,84,4.199642857142857,45.0,4.6,60.3,21.1,5.5,High
Cariboo,2000,5.0,Spring,17.57,43,0.4086046511627907,10.0,12.5,57.1,40.7,7.3,Moderate
Cariboo,2000,6.0,Summer,40.991,17,2.411235294117647,40.0,14.9,52.0,58.2,9.8,High
Cariboo,2000,7.0,Summer,792.599,17,46.6234705882353,680.0,17.4,48.3,49.1,10.7,Extreme
Cariboo,2000,8.0,Summer,3.817,21,0.18176190476190476,2.0,18.9,53.2,48.8,10.3,Moderate
Cariboo,2000,9.0,Fall,13.072,10,1.3072,8.0,12.1,58.6,53.8,8.8,Moderate
Cariboo,2000,10.0,Fall,3.9179999999999997,5,0.7836,3.8,3.1,73.1,47.7,8.2,Moderate
Cariboo,2001,4.0,Spring,116.645,36,3.2401388888888887,30.0,6.3,65.1,20.8,10.1,High
Cariboo,2001,5.0,Spring,233.429,89,2.6227977528089887,50.0,9.6,55.60000000000001,37.2,9.8,High
Cariboo,2001,6.0,Summer,21.026,18,1.168111111111111,20.2,13.5,48.4,58.20000000000001,7.400000000000001,High
Cariboo,2001,7.0,Summer,1.8900000000000001,28,0.0675,0.5,19.2,42.5,52.6,6.7,Low
Cariboo,2001,8.0,Summer,8.998,28,0.32135714285714284,5.0,18.6,52.5,41.3,9.1,Moderate
Cariboo,2001,9.0,Fall,202.575,34,5.958088235294118,195.0,11.9,59.8,33.5,4.9,Extreme
Cariboo,2001,10.0,Fall,3.072,10,0.30720000000000003,2.0,4.3,68.7,45.9,7.1,Moderate
Cariboo,2001,11.0,Fall,11.254000000000001,9,1.2504444444444447,6.0,-3.7999999999999994,81.8,48.6,8.3,Moderate
Cariboo,2002,3.0,Spring,14.899999999999999,5,2.9799999999999995,6.6,0.2,65.8,29.2,10.2,Moderate
Cariboo,2002,4.0,Spring,399.663,76,5.258723684210526,150.0,6.1,65.4,33.7,10.3,Extreme
Cariboo,2002,5.0,Spring,153.089,47,3.257212765957447,50.0,11.599999999999998,56.2,37.0,9.0,High
Cariboo,2002,6.0,Summer,34.938,58,0.6023793103448276,10.0,14.7,58.3,43.5,11.1,Moderate
Cariboo,2002,7.0,Summer,20.925,37,0.5655405405405406,10.0,19.3,42.4,48.3,5.3,Moderate
Cariboo,2002,8.0,Summer,39.748000000000005,115,0.3456347826086957,25.0,18.8,53.5,42.3,8.4,High
