Feature,Importance
avg_size_ha,0.1619631987992102
Season_Fall,0.16006784384330403
num_fires,0.1284884214147541
Temperature (°C),0.10437200228096209
Rainfall (mm),0.07507425867429567
Humidity (%),0.0713742819616453
Wind Speed (km/h),0.06037515076333259
Season_Spring,0.057313978027568144
Season_Summer,0.05460687271971963
Region_Prince George,0.03043598328710374
Region_Vancouver Island,0.027775295598751443
Region_Cariboo,0.022503103163169995
Season_Winter,0.018953988860621353
Region_Kamloops,0.014587414569712999
Region_Okanagan,0.012108206035848638
