Feature,Importance
Season_Fall,0.16485115143628953
num_fires,0.161120782186737
avg_size_ha,0.15867420724308723
Temperature (°C),0.08914352959713677
Season_Spring,0.0882934012730643
Humidity (%),0.07123853532563955
Season_Winter,0.06749909960338447
Rainfall (mm),0.05390929007918169
Wind Speed (km/h),0.04299718926923954
Season_Summer,0.03984985759571769
Region_Vancouver Island,0.01851926266713622
Region_Prince George,0.015687629033168803
Region_Kamloops,0.012750067001066435
Region_Cariboo,0.008502628292162202
Region_Okanagan,0.0069633693969885615
