Class,Feature,Coefficient
Extreme,SIZE_HA,495.5178568808711
Extreme,Temperature (°C),-0.7971003122803345
Extreme,Humidity (%),0.27478090767356766
Extreme,Rainfall (mm),-0.12955993602316562
Extreme,Wind Speed (km/h),-0.05249341592285197
Extreme,Region_Cariboo,0.03447906694131964
Extreme,Region_Kamloops,-0.13248697049471297
Extreme,Region_Okanagan,0.4545775433354944
Extreme,Region_Prince George,0.0860117720099988
Extreme,Region_Vancouver Island,-0.43139272955737384
Extreme,Season_Fall,0.4729076589698409
Extreme,Season_Spring,0.37593887507993967
Extreme,Season_Summer,1.17362695861173
Extreme,Season_Winter,-15.568332140355373
High,SIZE_HA,323.08391908868145
High,Temperature (°C),0.12902426183147334
High,Humidity (%),-0.007098415396941459
High,Rainfall (mm),0.09264505018256067
High,Wind Speed (km/h),-0.0007964492476119642
High,Region_Cariboo,0.00037097541333621536
High,Region_Kamloops,0.06896836312471893
High,Region_Okanagan,-0.11018242189989093
High,Region_Prince George,0.03757462452224934
High,Region_Vancouver Island,-0.001987449140104661
High,Season_Fall,-0.21528787956956003
High,Season_Spring,-0.08546387533374256
High,Season_Summer,-0.3799616735226233
High,Season_Winter,5.176491973469331
Low,SIZE_HA,-479.46189261814857
Low,Temperature (°C),0.45404171535330917
Low,Humidity (%),-0.1912036190918146
Low,Rainfall (mm),0.016120488580083917
Low,Wind Speed (km/h),0.01964330307941275
Low,Region_Cariboo,-0.048379662979184196
Low,Region_Kamloops,0.03314815678762763
Low,Region_Okanagan,-0.2394107736996056
Low,Region_Prince George,-0.14836679235073588
Low,Region_Vancouver Island,0.3945587290245861
Low,Season_Fall,-0.04995189581395664
Low,Season_Spring,-0.20060060961661888
Low,Season_Summer,-0.412334333858927
Low,Season_Winter,5.2205657915456785
Moderate,SIZE_HA,-339.1398833513838
Moderate,Temperature (°C),0.21403433508272499
Moderate,Humidity (%),-0.07647887315979729
Moderate,Rainfall (mm),0.02079439732931488
Moderate,Wind Speed (km/h),0.03364656205540311
Moderate,Region_Cariboo,0.013529620598059094
Moderate,Region_Kamloops,0.030370450597168447
Moderate,Region_Okanagan,-0.10498434777244554
Moderate,Region_Prince George,0.024780395804301438
Moderate,Region_Vancouver Island,0.03882144965234719
Moderate,Season_Fall,-0.2076678836250966
Moderate,Season_Spring,-0.08987439011441188
Moderate,Season_Summer,-0.3813309512361546
Moderate,Season_Winter,5.171274375280004
