Feature,Importance
worst_case_fire_size,0.3367125663265934
total_burned_area,0.28840918935480025
fire_count,0.1034613949840225
temperature_c,0.0559435564084697
humidity_pct,0.045351592796020065
Year,0.036442203308969606
rainfall_mm,0.03281057435467888
wind_speed_kmh,0.031170270157966615
Month,0.022600761548250147
Season_Winter,0.00809638025680928
Season_Summer,0.007294096013256308
Region_Vancouver Island,0.006156793379086634
Region_Prince George,0.0059867548551677885
Season_Spring,0.005246629781181697
Season_Fall,0.0038193416716809066
Region_Cariboo,0.003760692888174419
Region_Kamloops,0.003654861205028489
Region_Okanagan,0.003082340709843308
