Feature,Importance
total_burned_area,0.217270163360033
temperature_c,0.14096197014881598
worst_case_fire_size,0.11909552996083522
average_fire_size,0.10771324303291013
humidity_pct,0.09503689826998638
Month,0.060291215667201185
Year,0.05868575395296938
rainfall_mm,0.05283649118254292
wind_speed_kmh,0.04222749910414003
Season_Summer,0.03199007038358167
Season_Winter,0.024598466644499963
Season_Spring,0.009145929510332947
Region_Okanagan,0.007556381248145157
Season_Fall,0.00723861077198658
Region_Vancouver Island,0.006659446831340216
Region_Cariboo,0.006506915250522154
Region_Prince George,0.006469600921586424
Region_Kamloops,0.005715813758570828
