Feature,Importance
worst_case_fire_size,0.4206358552265883
average_fire_size,0.2268543701935104
fire_count,0.1354584592002853
temperature_c,0.04599297162979057
humidity_pct,0.040893439833354056
rainfall_mm,0.02366824368141743
Year,0.019552462073614954
wind_speed_kmh,0.019324473247559662
Month,0.018672892980852066
Season_Summer,0.012649130141054631
Season_Winter,0.009430001430555493
Region_Prince George,0.006053204619729603
Region_Kamloops,0.004088002716461374
Season_Spring,0.004085484603471076
Region_Vancouver Island,0.003775676847067856
Season_Fall,0.0035828079657458604
Region_Okanagan,0.002958820996568452
Region_Cariboo,0.0023237026123729587
