Feature,Importance
total_burned_area,0.4284001907602825
average_fire_size,0.24848050790143816
fire_count,0.09844194976109688
temperature_c,0.046878931906022325
humidity_pct,0.04610166358176999
rainfall_mm,0.02404064013948414
Year,0.02202611245634664
wind_speed_kmh,0.02106224101640389
Month,0.019150454920646782
Season_Summer,0.0161329750838337
Season_Winter,0.007377771944604887
Region_Prince George,0.004043544446262431
Season_Spring,0.0040329682884210055
Region_Kamloops,0.003378889144321848
Season_Fall,0.0030819885744528264
Region_Cariboo,0.003041595664283751
Region_Vancouver Island,0.0025128551408984
Region_Okanagan,0.0018147192694297953
